id,filename,md5,size,state,linker,sample_id,knn_clust
48f0d4a8-ee6a-463e-a1d3-281b28d95fe6,TCGA-AR-A24K-01A-01-TSA.42a4623b-f201-419b-a626-264b305dc01e.svs,dce73716fa2d64cd764912ae40966e79,243011901,released,TCGA-AR-A24K-01A,TCGA-AR-A24K-01A-11D-A167-09,cluster 10
4b2d82eb-f211-4a96-95b5-477fbdc09c81,TCGA-22-4607-01A-01-BS1.6cd55f3a-3f76-47ca-963a-0ab274eee516.svs,e0f06aa1d64887fc92cd99f72a4f8904,181083467,released,TCGA-22-4607-01A,TCGA-22-4607-01A-01D-1267-08,cluster 10
473b6796-cf2d-45d6-aacc-9a3515a098f1,TCGA-BH-A0B0-01A-02-BSB.f982be37-f191-4a96-a1a4-3cfefdfc9a19.svs,43735d775c7b2bc62cad8225e48028b9,736274613,released,TCGA-BH-A0B0-01A,TCGA-BH-A0B0-01A-21D-A10Y-09,cluster 10
267959dd-ca0c-4e03-8a71-848e9e42a404,TCGA-DD-AACW-01A-01-TS1.FBF9CC64-0DC0-4D86-909E-0951E4BEC1BE.svs,6463138ec18cb1981c586b089ca6cd30,164094645,released,TCGA-DD-AACW-01A,TCGA-DD-AACW-01A-11D-A40R-10,cluster 10
16e3f8df-a6a2-4709-bbc9-8e400eb4b801,TCGA-25-2398-01A-01-BS1.6cd65019-046f-4701-ba45-95c5a357e0f4.svs,370afc71a2e3edb09bb9505acb61d02a,409494153,released,TCGA-25-2398-01A,TCGA-25-2398-01A-01D-0704-01,cluster 10
4afb4d73-6c0a-45fe-ab11-6c78d490c279,TCGA-B5-A1N2-01A-02-TSB.0b277d6f-d369-4821-b068-e57a4eeafaa4.svs,87b273468386de2d01f4131f7ccc7231,193661257,released,TCGA-B5-A1N2-01A,TCGA-B5-A1N2-01A-21D-A142-09,cluster 10
526f91d4-9e5b-474a-8e61-11da6f3cc3d7,TCGA-63-A5MU-01A-01-TS1.E94A7B09-18A9-4773-A55E-1730BE5A08EB.svs,d4e8e1ef420795270fae1026bf690c4d,228017851,released,TCGA-63-A5MU-01A,TCGA-63-A5MU-01A-11D-A26M-08,cluster 10
40187224-5f7b-45b1-8836-3362668b674f,TCGA-BR-8297-01A-01-BS1.0b03e01e-2184-491e-beb7-79414509cfa2.svs,4314d71215e84ec174cfbce36ee44fc9,1715380065,released,TCGA-BR-8297-01A,TCGA-BR-8297-01A-12D-2340-08,cluster 10
549b3557-ead8-4820-be29-afef9e0ac4e4,TCGA-BH-A1FD-01A-01-TSA.5f2d753e-6d27-482c-a216-ffb3a728b743.svs,8206db60a78ec6013e643dff76f8baf6,170476995,released,TCGA-BH-A1FD-01A,TCGA-BH-A1FD-01A-11W-A14Q-09,cluster 10
44311a3b-6a18-47f4-9c24-ed5005cc0d61,TCGA-77-6844-01A-01-BS1.708e14d5-ad28-4eac-a735-4e43a07c2064.svs,28e95e51532ab72eafd4341f68aa545f,160800329,released,TCGA-77-6844-01A,TCGA-77-6844-01A-11D-1945-08,cluster 10
9999ec56-be48-476b-a501-5ca2990b317b,TCGA-A2-A0CW-01A-02-BSB.e5c24b99-3704-46cf-b097-a9834d81c169.svs,38718fe9e56286180ca2380b9e65339b,347614037,released,TCGA-A2-A0CW-01A,TCGA-A2-A0CW-01A-21D-A10Y-09,cluster 10
7df450a7-e5f2-444d-be62-85c7d88a9fa8,TCGA-GM-A2DD-01A-01-TSA.A6FD944E-FDD8-4D2F-8304-FFD1617F4C8D.svs,2144a568fca0f0b1a436483291fe6682,139355039,released,TCGA-GM-A2DD-01A,TCGA-GM-A2DD-01A-11D-A17W-09,cluster 10
8656b81d-4170-41a2-93a1-150c3a06c289,TCGA-D1-A16S-01A-01-TS1.f3d1e93e-ee76-4682-abd7-1bbf57723e72.svs,a54e0b25936b3a8c98dd76904393456b,114864349,released,TCGA-D1-A16S-01A,TCGA-D1-A16S-01A-11D-A12J-09,cluster 10
60f8e948-7f15-4685-83a0-947a601347e2,TCGA-DH-A66G-01A-02-TS2.BD66C53D-CFE8-4285-B882-08A39C4785AA.svs,81b48ab36535add2e972ce9d7a7a20d2,390563349,released,TCGA-DH-A66G-01A,TCGA-DH-A66G-01A-21D-A31L-08,cluster 10
8218e272-de99-4175-9ee2-622778cf42af,TCGA-UF-A7JF-01A-01-TS1.606C5CFB-CF2B-45D2-A814-D315630BC644.svs,6dc0ba283e32506f3f63a04792b1f7c8,412368191,released,TCGA-UF-A7JF-01A,TCGA-UF-A7JF-01A-11D-A34J-08,cluster 10
89392166-82b6-4d25-be70-79c6f5ba7305,TCGA-CD-8525-01A-01-TS1.42e17019-de0e-4573-8fb6-fb653adca7cb.svs,86dda34924a26fb2f86ba328b82336d8,67464081,released,TCGA-CD-8525-01A,TCGA-CD-8525-01A-11D-2340-08,cluster 10
94af1e64-b654-4371-b916-50eafb9a90d7,TCGA-AD-6965-01A-01-BS1.c742cdfe-0491-4f97-936e-106d00aaec16.svs,9a3f56132b8064c498703ca1cbbeebb6,58741503,released,TCGA-AD-6965-01A,TCGA-AD-6965-01A-11D-1924-10,cluster 10
7774cebc-5992-4d0e-a65d-ff0456dc0ecb,TCGA-CN-6994-01A-01-TS1.e0edd6b3-cb72-4826-8fc4-a6f006329574.svs,112736306fce33e05c8166a5ffea2038,55403203,released,TCGA-CN-6994-01A,TCGA-CN-6994-01A-11D-A32X-10,cluster 10
9a967f40-99bb-4ee5-b976-aa85ac55bdb8,TCGA-CM-4751-01A-01-BS1.731e9bea-7355-4aeb-a2e2-b06072f1ad52.svs,c9a265622ab640c77885cfffc38fe24d,88166803,released,TCGA-CM-4751-01A,TCGA-CM-4751-01A-02D-1835-10,cluster 10
