sample_id	x_2d	y_2d	x_3d	y_3d	z_3d	clust	member_prob	knn_clust
TCGA-33-6737-01A-11D-1817-08	-4.57916418819808	-0.654069190044889	-1.71423625695643	-5.11365440924631	-3.71460653919664	8	0.0396204498378454	8
TCGA-DU-A7TD-01A-12D-A34A-08	8.86238443723063	-1.92266988272817	3.58538113417816	9.10744514447334	3.03768073302026	1	0.623823664728759	1
TCGA-50-6673-01A-11D-1945-08	-1.12657887182485	3.4866051220015	0.137251632957453	-1.27238614293017	1.22263455826451	4	0.256353545383541	4
TCGA-CN-4733-01A-02D-1870-08	-0.103349189653897	4.63254081870686	-0.0109446610596673	-0.976478490891607	2.2347180653263	4	0.457873959370918	4
TCGA-28-1746-01A-01W-0643-08	0.135253259753166	3.49850252206369	-0.862405014332537	-1.06859908259094	1.13707902516454	4	0.414719807342268	4
TCGA-DH-A7US-01A-11D-A33T-08	9.88819075044001	-1.93848950195287	3.57070130975602	9.2810673386513	3.89169536931501	1	0.84237827816005	1
TCGA-DH-A7UT-01A-12D-A34A-08	-0.00752958554856153	4.78145701089856	0.0449945545619381	-1.2523623379108	2.39746998182107	4	0.603125732029875	4
TCGA-32-1986-01A-01D-1494-08	9.35950709100433	-1.74796809961041	3.73617828381603	9.55856748742217	4.10332740738343	1	0.769053122097339	1
TCGA-DH-A7UU-01A-12D-A34A-08	-0.100643366932029	4.55344697428558	0.321379978046174	-1.00187696975155	2.1901011046249	4	0.452674402726466	4
TCGA-DH-A7UV-01A-12D-A34A-08	-7.40352232792962	-2.39881074978021	0.713617875836702	-6.20746510281016	-3.27232642759294	6	0.327917600536974	6
TCGA-DU-A7TA-01A-11D-A33T-08	0.138214578286866	4.84575670122423	0.0728164077132942	-1.17872281989717	2.62927798143815	4	0.641039696359029	4
TCGA-DU-A7TB-01A-11D-A33T-08	4.38569180723012	1.08151606617008	0.831026004537583	1.22271993450869	0.668371821698202	2	0.704804665677394	2
TCGA-DU-A7TC-01A-21D-A34J-08	0.156533539008901	4.92783495654114	0.109340507930103	-1.36057302144462	2.51991871418627	4	0.660734146290763	4
TCGA-66-2771-01A-01D-0983-08	-5.53786185569476	-2.07494216154703	-0.98795432597089	-6.31023694078811	-4.0748986883543	0	0	7
TCGA-CG-4440-01A-01D-1158-08	8.91678620000616	-2.10435284529703	3.89550624032703	9.14908159229344	2.84289240627302	1	0.610924516534313	1
TCGA-75-7031-01A-11D-1945-08	-1.82157619452501	2.78116688035934	-0.504175114199996	-2.0800206940675	0.309789914973801	0	0	4
TCGA-85-7950-01A-11D-2184-08	-7.09612294158013	-2.22709173845933	0.261399661457411	-6.04733165420939	-3.17850120838178	6	0.279280920226035	6
TCGA-BR-8291-01A-11D-2340-08	8.99547252752197	-5.36969453603434	4.38611718808034	11.6292006154634	3.95259947242211	1	0.845037355780471	1
TCGA-DB-A75O-01A-11D-A32B-08	0.343591599153846	4.98291341306006	0.528645046892136	-1.27428901404594	2.51547673337368	4	0.604626766428339	4
TCGA-DB-A75P-01A-11D-A32B-08	10.1042730566795	-1.55222439421097	3.18123900589857	8.93296363640344	4.11034647935722	1	0.85769059378049	1
TCGA-DH-A7UR-01A-11D-A33T-08	8.91980146232488	-4.57525372767286	4.42283163977238	10.8577620973543	3.72304315038728	1	0.77880261260887	1
TCGA-06-2569-01A-01D-1494-08	10.0482969434163	-1.90736726792531	3.40532503321243	9.77338195276238	4.04894137377774	1	0.719593938209428	1
TCGA-19-2623-01A-01D-1495-08	-7.23026673419576	-2.28130658194426	0.498884041151929	-6.16961677442676	-3.28778798815235	6	0.327016067615964	6
TCGA-VQ-AA6B-01A-11D-A410-08	-1.54915402316469	2.56068538982764	-0.936176193879285	-1.99162522339379	0.145710442081914	0	0	4
TCGA-VQ-AA6G-01A-11D-A410-08	-0.776108140709456	4.82424583462774	0.388633904257759	-1.91650205641843	2.04801158894684	4	0.498787512467853	4
TCGA-VQ-AA6J-01A-11D-A410-08	0.401485494219194	4.40711473480165	0.710912294491642	-1.13645339840919	2.18651924073728	4	0.31572276672828	4
TCGA-DB-A75K-01A-11D-A32B-08	2.17266511339469	1.80416159560813	-0.772145974892696	0.806798453146144	0.196656181480505	3	0.525961216241905	3
TCGA-19-5955-01A-11D-1696-08	-8.15844823098487	2.0377512803939	-5.44067585841414	-5.63861685463631	-1.88666200758009	9	0.367930540911912	9
TCGA-DB-A75L-01A-11D-A32B-08	-0.117190089906462	4.14317183514261	-0.155224340994699	-1.56829407622249	1.98754027783677	4	0.462682652839342	4
TCGA-DB-A75M-01A-11D-A32B-08	0.0242707409656049	5.0204037919281	0.273758699180005	-1.23034752531219	2.693635761933	4	0.719813937848817	4
TCGA-CG-5719-01A-11D-1600-08	9.13343589147924	-4.662509263429	4.19176452484606	11.3744569185564	4.05195507699817	1	0.84171755639707	1
TCGA-CG-4305-01A-01D-1158-08	-3.1136179051785	-3.63439674097957	-1.88814158967183	-5.16238394725672	-6.74506728110127	8	0.54086459142759	8
TCGA-56-7222-01A-11D-2042-08	-4.66030030071741	-1.57172702401958	-1.28251951081245	-5.30191110879741	-4.14362327777564	8	0.21574997357349401	8
TCGA-21-1079-01A-01W-0782-08	-3.1626190895677	-3.53721215541075	-2.05397608782905	-5.2434446264343	-6.64868812910622	8	0.570471064980527	8
TCGA-55-6980-01A-11D-1945-08	9.41643499402722	-2.16134375167029	3.58273739905635	9.64424587196424	3.55364030789786	1	0.744101325987128	1
TCGA-06-6695-01A-11D-1845-08	9.18294689754519	-3.66188733332396	4.13581705351081	10.4664932286601	3.43627377466106	1	0.730813323561836	1
